ObjectID,Volume_um3,SurfaceArea_um2,EquivalentDiameter_um,Sphericity,MajorAxisLength_um,IntermediateAxisLength_um,MinorAxisLength_um,Elongation,Flatness,BoundingBoxX_um,BoundingBoxY_um,BoundingBoxZ_um,CentroidX_um,CentroidY_um,CentroidZ_um,SomaVolume_um3,SomaCellVolumeRatio,NumberOfSomas,PossibleMerged
1,263.715613975038,440.712220802276,7.95632302848495,0.451252471667166,15.9803806350134,11.921365328804,8.00001644273442,1.34048241910699,1.49016760329673,11.9927285703304,11.5314697791638,16,28.6702388445701,155.65176977583,8.70835014118596,0,0,0,0
2,5740.0432024466,9004.79739132667,22.2146178316739,0.172168469830371,76.6289710907683,64.3547657611924,49.7361569545398,1.19072721630474,1.29392316780757,68.7275598838164,60.4249016428184,60,76.2107054315465,60.779949865564,30.2862596834575,519.771879742653,0.0905519107453946,1,0
3,6667.67537423455,11003.1685199865,23.3520641502178,0.155697865322178,71.9082277766095,61.9446563068087,52.0140553515352,1.16084634355628,1.1909214901272,62.0393074119013,67.8050423014833,60,56.1042524695565,95.5019040392526,40.9907463543827,318.501229625359,0.047767956858866,1,0
4,378.60583708639,485.996025569667,8.97558769167144,0.520766385686252,15.771852742589,9.85746174686434,9.78513769448978,1.59999127032941,1.00739121457793,15.2215401084962,14.5296519217464,10,84.8136848183514,178.116008873858,4.49508288845181,0,0,0,0
5,4236.47059739489,6254.73885969635,20.0755995768593,0.202431335341219,67.7349612858929,59.1738741245668,32.4694012826689,1.14467680691827,1.82245042369019,33.9025211507416,75.1851829601481,60,102.862100322038,122.461226578356,25.3200080353556,214.036230463,0.0505222981116914,1,0
6,379.031356431247,436.85136121365,8.97894902058474,0.579785288005384,25.5975238574272,10.861742065763,7.67226074043263,2.35666835968353,1.41571597124194,14.5296519217464,23.7548277450775,12,141.177489863565,56.6980005175031,4.53774908784732,0,0,0,0
7,3038.74002145905,5106.62207367553,17.9706991834862,0.198676318322595,63.561112784936,49.2636991663899,39.5087226570866,1.29022208767263,1.24690690696257,39.206997249157,62.5005662030679,46,166.510273654559,101.40829829638,20.8380885699282,256.269025440043,0.0843339751444075,1,0
8,469.241457540901,583.693432811328,9.64123312585639,0.500299690454437,25.9034284662848,20.5653438658193,9.19837593608085,1.2595669994771,2.23575813912446,14.7602813173297,21.4485337892447,20,169.854602325123,197.702670490066,6.83291770573566,0,0,0,0
9,1578.25125007409,1956.27249153512,14.4452758584856,0.335098284422595,28.1672402930433,20.3863687211984,17.5894356411662,1.38167030520517,1.15901209891501,25.3692335141604,19.8341280201618,26,195.004444690015,14.7055931120411,11.7510110541925,250.098994939619,0.158465893771906,1,0
10,1952.70827354813,3073.2739228952,15.5076591904703,0.245833518920765,62.768395762267,32.0758919484806,26.370595405001,1.95687140557413,1.21635069120956,32.7493741728252,28.367415656743,60,202.369756073588,157.943769891384,14.9143604271083,150.740227915542,0.0771954674220963,1,0
11,261.268877742111,511.832694417946,7.93164045422299,0.386142751694107,30.2009095911419,8.03646810832941,7.55645171989433,3.75798288303293,1.06352404623605,19.1422398334119,13.1458755482468,22,76.725122478947,95.3553951035968,14.7695439739414,0,0,0,0
12,1227.19779056718,1847.82874077317,13.2832795974899,0.2999844776255,43.1139774109046,28.5973103459499,14.1271234357073,1.50762351037011,2.024284028953,23.9854571406607,32.2881153816587,38,13.1003934162294,57.3096055093095,22.9696601941748,133.081175103983,0.108443134535368,1,0
13,297.118882546302,513.923041174006,8.27898718289038,0.418992456401707,16.6085157722654,12.8995591768034,7.73663342039242,1.28752584058311,1.6673349344435,11.9927285703304,8.30265824099795,16,23.2538508231284,72.5868244958377,12.4475474400286,0,0,0,0
14,1984.19670506753,3299.9435859058,15.590571450486,0.231402168833442,56.6550764990933,31.6683122843919,28.2297776820119,1.789014709414,1.12180523138059,39.8988854359068,32.9800035684085,50,43.4331956056765,140.576159173484,24.7436199871327,169.037559744387,0.0851919365215526,1,0
15,2558.43506095187,3439.62858175366,16.9690915176943,0.262999854020649,53.7324336816332,34.8739922639235,22.4536663679374,1.54075946553496,1.55315357823797,31.1349684037423,33.6718917551584,52,87.8707394960549,217.32683588973,25.2860706860707,233.610120326416,0.0913097713097713,1,0
16,586.684796721394,1187.81759940515,10.3864883248528,0.285323531994226,37.5517342516172,18.8968289230552,11.2836613280505,1.98719766181521,1.67470720483952,12.6846167570802,21.9097925804113,38,125.219508961664,75.8053941235019,21.3635539437897,0,0,0,0
17,1630.16461014663,2359.96728946758,14.6019529962322,0.283834891337216,47.3615732228009,36.6255534076511,24.7416299063452,1.29312921761633,1.4803209629394,26.0611217009102,29.5205626346594,52,115.153359556148,56.0540953312602,28.8726181153746,233.610120326416,0.143304620203602,1,0
18,1560.69857709875,2150.90676849095,14.3915245886407,0.302511503843492,29.4460971108387,27.232415233136,16.9548001032016,1.08128848869083,1.60617731069526,18.6809810422454,28.8286744479095,32,101.004985606351,43.7933797758836,33.4857882898235,161.590971209392,0.103537591166246,1,0
19,4411.14628845863,7375.45509375447,20.3478071460827,0.176358450803459,62.0569580720167,57.3232361438634,38.5956415047746,1.08257946073165,1.48522563452591,35.7475563154078,64.1149719721508,56,136.254680025748,119.594345312405,42.0121063039599,209.461897505789,0.0474846862489751,1,0
20,334.458205057491,792.975221415668,8.6122060276928,0.293845522450894,24.3922171605532,16.7640382082239,11.9619362662369,1.45503230531813,1.40144854771891,12.9152461526635,22.8323101627444,20,177.979800169736,82.8692350647104,13.5311704834606,0,0,0,0
21,277.544992682886,556.422573600707,8.09303821975766,0.369801198887278,16.2473432014443,15.6982866239526,9.97104453129156,1.03497557349055,1.57438737483195,13.1458755482468,16.1440576908293,18,55.3115412029891,180.293933313279,13.5400536604063,0,0,0,0
22,352.117257869051,511.95813459792,8.7611859144765,0.471022027198854,17.6663316518617,7.64887702106346,6.78123176110183,2.30966344513217,1.12794803223488,8.07202884541467,8.99454642774778,18,24.1390939434587,40.6440065103381,18.1649546827795,0,0,0,0
23,367.75509379254,640.950537682929,8.88900925115163,0.387286245156859,26.3645409401604,16.291939933012,6.53405596036047,1.61825669923681,2.49338849129066,14.2990225261631,8.53328763658123,26,151.062987958175,27.19545540444,25.2241828174718,0,0,0,0
24,5040.59577933814,7659.59786500851,21.2729514882128,0.185609158891738,65.9558962304281,58.5840211131791,45.10584319174,1.12583422880801,1.29881223734461,43.8195851608225,50.7384670283208,52,212.175310683203,108.629448471426,41.2349576852458,274.247217760246,0.0544076989637634,1,0
25,261.162497905897,477.130459884672,7.93056380965239,0.414114900767174,18.2661704555115,12.3257764135884,4.97375473731661,1.48194887223285,2.47816329203202,14.2990225261631,11.0702109879973,14,129.316203700363,153.343653240138,19.3987780040733,0,0,0,0
26,636.78969957829,1019.69074081382,10.6741295431449,0.351031698370173,36.0477514157265,21.5118023592222,8.90549693495138,1.67571971951819,2.41556451216045,12.6846167570802,27.4448980744099,32,173.142418085264,152.964233850174,31.1740728366188,0,0,0,0
27,3183.73573821902,4892.40198691533,18.252098201576,0.213920956755192,61.6860865218353,36.7714396458722,36.0109342505595,1.67755429528743,1.02111873549354,45.4339909299054,42.8970675784894,44,108.896599513821,158.047863451701,42.3255145682972,244.673623292694,0.0768511093290564,1,0
28,4022.22160725946,6093.8958853448,19.7313041359978,0.200708804578424,53.8314729883327,52.2000961096459,36.5547313379472,1.03125237308491,1.42799835203432,42.8970675784894,47.0483966989884,48,108.945483666896,186.568829847705,41.6094154985454,275.842915303459,0.0685797408093097,1,0
