SourceFile,ParentObjectID,WasSeparated,SeparationPart,SeparationPartsTotal,MorphologyLabel,DatasetSplit,ObjectID,Volume_um3,SurfaceArea_um2,EquivalentDiameter_um,Sphericity,MajorAxisLength_um,IntermediateAxisLength_um,MinorAxisLength_um,Elongation,Flatness,BoundingBoxX_um,BoundingBoxY_um,BoundingBoxZ_um,CentroidX_um,CentroidY_um,CentroidZ_um,SomaVolume_um3,SomaCellVolumeRatio,NumberOfSomas,PossibleMerged
1.tif,1,0,1,1,Ramified,Training,1,2620.1896,4089.2726728188,17.104538676611,0.224763886566188,49.8018779221759,34.1728343112129,26.6056192135759,1.45735286305575,1.28442168689597,35.7,40.29,36,42.4892034324538,69.3067596841085,18.8585105444278,219.4666,0.0837598164651901,1,0
1.tif,2,0,1,1,Amoeboid,Training,2,390.3812,447.261519556229,9.0676919443695,0.577539712947631,25.1011534152103,12.2545862413656,5.84807474410782,2.04830688860638,2.09549070037325,12.41,7.99,26,55.5439635771395,5.44805448623038,8.54249333728161,0,0,0,0
1.tif,3,0,1,1,Exclude,Training,3,1404.4822,1429.04556786496,13.8943810689299,0.424406675974872,40.3148563206512,24.8198572885585,13.2822336449186,1.62429847407848,1.86865085738451,29.92,27.71,26,139.444054899378,109.126483394378,6.94102637968641,176.6368,0.125766492448249,1,0
1.tif,4,0,1,1,Ramified,Training,4,1774.1132,2730.67751792406,15.0196876663624,0.259538183817229,40.4713692997583,32.191244156902,21.8893815178274,1.2572166860808,1.47063287880859,23.8,32.13,40,128.340961099889,131.36168730045,22.1640711539715,156.349,0.0881279728937252,1,0
1.tif,5,0,1,1,Ramified,Training,5,4142.2948,6044.36584893154,19.9257247659206,0.206360885987457,55.0854119422654,36.6015156920542,34.1928858393918,1.50500357432531,1.0704424266491,34.34,52.19,34,101.674446180894,59.9317059693578,23.7569558786593,235.0148,0.0567354114921999,1,0
1.tif,6,0,1,1,Activated,Training,6,1272.6404,1500.50887130624,13.4452545186913,0.378485600113167,29.0143078266575,27.672157825149,16.3530297748067,1.04850181940957,1.69217314505111,25.16,21.08,26,131.20510128077,27.11042147334,32.5695340176219,213.3398,0.167635570896539,1,0
1.tif,7,0,1,1,Exclude,Training,7,231.2578,308.148365271422,7.61551461342698,0.591273637797674,15.3162383521155,10.4872507552327,8.43347009339776,1.46046268079108,1.24352735458715,8.5,10.2,16,58.9186178455386,166.571022244439,37.0882279430142,0,0,0,0
2.tif,1,0,1,1,Ramified,Training,1,1770.5874,2691.66364296762,15.0097312301561,0.262951053799326,38.8816633765317,37.5727427211532,19.8566547285316,1.03483697384278,1.89219902520467,33.15,29.07,40,28.1473394705056,140.641960630692,23.7675056311821,171.2036,0.0966931087389417,1,0
2.tif,2,0,1,1,Exclude,Training,2,1246.6882,1824.15375772609,13.3532324403279,0.307086870251652,41.805016569841,37.5721175634737,20.3943497936729,1.11266064520362,1.84228072694576,20.23,37.06,40,29.7046803282489,44.363324215309,10.1646807918772,121.1488,0.0971765033149427,1,0
2.tif,3,0,1,1,Ramified,Training,3,1463.496,1919.73740340237,14.0863228893939,0.324715727768044,42.20164633609,27.5712498441338,12.8239040035847,1.53063958197996,2.14998878940662,29.41,32.98,28,79.9408751974725,152.551473933649,10.5552132701422,137.7952,0.0941548183254344,1,0
2.tif,4,0,1,1,Exclude,Training,4,1047.914,1484.83096744105,12.6020831283765,0.336014126621242,47.0201119199072,25.4327457131002,19.0668528794275,1.84880203067054,1.33387223753855,23.63,25.33,40,68.447522890237,100.097312741313,25.5569773855488,0,0,0,0
2.tif,5,0,1,1,Exclude,Training,5,1064.4448,1355.44677710058,12.6680034837314,0.371949305119142,48.5171435177279,22.1253313045341,16.8350926358933,2.19283240779249,1.31423876203459,20.23,44.54,26,88.8230799304951,41.9348626194613,7.87706342311034,120.6286,0.113325369244136,1,0
2.tif,6,0,1,1,Activated,Training,6,1505.8056,2101.9647347916,14.2207803515701,0.302253476150756,38.9686760458633,34.5689003300328,19.1469706826478,1.12727554749574,1.80545011025485,21.59,27.54,40,117.271777598649,25.4333690311684,28.1321971441732,172.244,0.114386611392599,1,0
2.tif,7,0,1,1,Ramified,Training,7,2172.9332,3426.17378512876,16.0700015159535,0.236794886837173,46.1987709354106,42.1338435472548,22.5744248230951,1.09647653871399,1.86644150969238,34.85,32.64,40,149.031223067511,95.6920295791882,29.0394743842102,116.756,0.0537319785072086,1,0
3.tif,1,0,1,1,Activated,Validation,1,553.8974,720.37790307906,10.1892816735074,0.45276893952161,33.4818000680628,21.2193363635132,10.0134760024452,1.57789100914744,2.11907796636568,20.74,13.6,30,76.7949942606698,132.899854951477,7.27684441197955,0,0,0,0
3.tif,2,0,1,1,Ramified,Validation,2,1039.5908,1556.34306464429,12.5686298137162,0.3188749533601,38.3841300806904,25.5113097617688,14.7773905223774,1.50459268611182,1.72637447207862,35.19,21.42,32,81.3797353497163,97.4608884688092,19.1088624485711,112.3054,0.108028466585122,1,0
